location_name_normalized,brand_name_normalized
DUNKIN BASKIN ROBBINS,DUNKIN
DUNKIN BASKIN ROBBINS,BASKIN ROBBINS
DUNKIN BASKIN ROBINS,DUNKIN
DUNKIN BASKIN ROBINS,BASKIN ROBBINS
DUNKIN BASKIN,DUNKIN
DUNKIN BASKIN,BASKIN ROBBINS
AUNTIE ANNES CINNABON,AUNTIE ANNES
AUNTIE ANNES CINNABON,CINNABON
AUNTIE ANNES CINNABON CARVEL,AUNTIE ANNES
AUNTIE ANNES CINNABON CARVEL,CINNABON
AUNTIE ANNES CINNABON CARVEL,CARVEL
AUNTIE ANNES PRETZEL CINNABON,AUNTIE ANNES
AUNTIE ANNES PRETZEL CINNABON,CINNABON
AUNTIE ANNES PRETZEL JAMBA JUICE,AUNTIE ANNES
AUNTIE ANNES PRETZEL JAMBA JUICE,JAMBA
AUNTIE ANNES PRETZELS JAMBA JUICE,AUNTIE ANNES
AUNTIE ANNES PRETZELS JAMBA JUICE,JAMBA
AUNTIE ANNES CARVEL,AUNTIE ANNES
AUNTIE ANNES CARVEL,CARVEL
AUNTIE ANNES PRETZELS CARVEL,AUNTIE ANNES
AUNTIE ANNES PRETZELS CARVEL,CARVEL
BURGER KING POPEYES,BURGER KING
BURGER KING POPEYES,POPEYES
CARVEL AUNTIE ANNES CINNABON,CARVEL
CARVEL AUNTIE ANNES CINNABON,AUNTIE ANNES
CARVEL AUNTIE ANNES CINNABON,CINNABON
CARVEL CINNABON,CARVEL
CARVEL CINNABON,CINNABON
CARVEL AND CINNABON,CARVEL
CARVEL AND CINNABON,CINNABON
CARVEL CINNABON AUNTIEANNES,CARVEL
CARVEL CINNABON AUNTIEANNES,CINNABON
CARVEL CINNABON AUNTIEANNES,AUNTIE ANNES
CINNABON AUNTIE ANNES,CINNABON
CINNABON AUNTIE ANNES,AUNTIE ANNES
CINNABON AUNTIE ANNES CARVEL,CINNABON
CINNABON AUNTIE ANNES CARVEL,AUNTIE ANNES
CINNABON AUNTIE ANNES CARVEL,CARVEL
CINNABON AUNTIE ANNES PRETZELS,CINNABON
CINNABON AUNTIE ANNES PRETZELS,AUNTIE ANNES
CINNABON CARVEL,CINNABON
CINNABON CARVEL,CARVEL
DUNKIN AND JIMMY JOHNS,DUNKIN
DUNKIN AND JIMMY JOHNS,JIMMY JOHNS
DUNKIN 38CC SHAKE SHACK 40CC POST GATE 22,DUNKIN
DUNKIN 38CC SHAKE SHACK 40CC POST GATE 22,SHAKE SHACK
DUNKIN DONUT JIMMY JOHNS BASKIN ROBBINS,DUNKIN
DUNKIN DONUT JIMMY JOHNS BASKIN ROBBINS,JIMMY JOHNS
DUNKIN DONUT JIMMY JOHNS BASKIN ROBBINS,BASKIN ROBBINS
DUNKIN DONUTS BASKIN ROBBINS,DUNKIN
DUNKIN DONUTS BASKIN ROBBINS,BASKIN ROBBINS
DUNKIN JIMMY JOHNS,DUNKIN
DUNKIN JIMMY JOHNS,JIMMY JOHNS
DUNKIN POPEYES,DUNKIN
DUNKIN POPEYES,POPEYES
DUNKIN DONUTS JIMMY JOHNS QNS MARKET,DUNKIN
DUNKIN DONUTS JIMMY JOHNS QNS MARKET,JIMMY JOHNS
DUNKIN PIZZA HUT NATHANS,DUNKIN
DUNKIN PIZZA HUT NATHANS,PIZZA HUT
DUNKIN PIZZA HUT NATHANS,NATHANS
DUNKIN BASKIN ROBBINS JIMMY JOHNS,DUNKIN
DUNKIN BASKIN ROBBINS JIMMY JOHNS,BASKIN ROBBINS
DUNKIN BASKIN ROBBINS JIMMY JOHNS,JIMMY JOHNS
JAMBA JUICE AUNTIE ANNES PRETZELS,JAMBA
JAMBA JUICE AUNTIE ANNES PRETZELS,AUNTIE ANNES
KFC TACO BELL,KFC
KFC TACO BELL,TACO BELL
SUBWAY KRISPY KRUNCHY CHICKEN,SUBWAY
SUBWAY KRISPY KRUNCHY CHICKEN,KRISPY KRUNCHY CHICKEN
SUBWAY CARVEL,SUBWAY
SUBWAY CARVEL,CARVEL
TACO BELL PIZZA HUT,TACO BELL
TACO BELL PIZZA HUT,PIZZA HUT
