zip,nta_code,nta_name,borough
07305,MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,Manhattan
10001,MN0401,Chelsea-Hudson Yards,Manhattan
10002,MN0302,Lower East Side,Manhattan
10003,MN0303,East Village,Manhattan
10004,MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,Manhattan
10005,MN0101,Financial District-Battery Park City,Manhattan
10006,MN0101,Financial District-Battery Park City,Manhattan
10007,MN0102,Tribeca-Civic Center,Manhattan
10009,MN0303,East Village,Manhattan
10010,MN0501,Midtown South-Flatiron-Union Square,Manhattan
10011,MN0401,Chelsea-Hudson Yards,Manhattan
10012,MN0201,SoHo-Little Italy-Hudson Square,Manhattan
10013,MN0102,Tribeca-Civic Center,Manhattan
10014,MN0203,West Village,Manhattan
10016,MN0603,Murray Hill-Kips Bay,Manhattan
10017,MN0604,East Midtown-Turtle Bay,Manhattan
10018,MN0502,Midtown-Times Square,Manhattan
10019,MN0402,Hell's Kitchen,Manhattan
10020,MN0502,Midtown-Times Square,Manhattan
10021,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan
10022,MN0604,East Midtown-Turtle Bay,Manhattan
10023,MN0701,Upper West Side-Lincoln Square,Manhattan
10024,MN0702,Upper West Side (Central),Manhattan
10025,MN0703,Upper West Side-Manhattan Valley,Manhattan
10026,MN1001,Harlem (South),Manhattan
10027,MN0901,Morningside Heights,Manhattan
10028,MN0803,Upper East Side-Yorkville,Manhattan
10029,MN1101,East Harlem (South),Manhattan
10030,MN1002,Harlem (North),Manhattan
10031,MN0903,Hamilton Heights-Sugar Hill,Manhattan
10032,MN1201,Washington Heights (South),Manhattan
10033,MN1202,Washington Heights (North),Manhattan
10034,MN1203,Inwood,Manhattan
10035,MN1191,Randall's Island,Manhattan
10036,MN0402,Hell's Kitchen,Manhattan
10037,MN1002,Harlem (North),Manhattan
10038,MN0101,Financial District-Battery Park City,Manhattan
10039,MN1002,Harlem (North),Manhattan
10040,MN1202,Washington Heights (North),Manhattan
10044,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan
10065,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan
10069,MN0701,Upper West Side-Lincoln Square,Manhattan
10075,MN0802,Upper East Side-Carnegie Hill,Manhattan
10103,MN0502,Midtown-Times Square,Manhattan
10110,MN0502,Midtown-Times Square,Manhattan
10111,MN0502,Midtown-Times Square,Manhattan
10112,MN0502,Midtown-Times Square,Manhattan
10115,MN0901,Morningside Heights,Manhattan
10119,MN0501,Midtown South-Flatiron-Union Square,Manhattan
10128,MN0803,Upper East Side-Yorkville,Manhattan
10152,MN0604,East Midtown-Turtle Bay,Manhattan
10153,MN0502,Midtown-Times Square,Manhattan
10154,MN0604,East Midtown-Turtle Bay,Manhattan
10162,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan
10165,MN0502,Midtown-Times Square,Manhattan
10167,MN0604,East Midtown-Turtle Bay,Manhattan
10168,MN0603,Murray Hill-Kips Bay,Manhattan
10169,MN0604,East Midtown-Turtle Bay,Manhattan
10170,MN0604,East Midtown-Turtle Bay,Manhattan
10171,MN0604,East Midtown-Turtle Bay,Manhattan
10172,MN0604,East Midtown-Turtle Bay,Manhattan
10173,MN0502,Midtown-Times Square,Manhattan
10174,MN0604,East Midtown-Turtle Bay,Manhattan
10177,MN0502,Midtown-Times Square,Manhattan
10199,MN0401,Chelsea-Hudson Yards,Manhattan
10271,MN0101,Financial District-Battery Park City,Manhattan
