dba,name_syntax_normalized,name_normalized,detected_brand,location_count
BLIMPIE TWIN DONUT,BLIMPIE TWIN DONUT,BLIMPIE TWIN DONUT,BLIMPIE,1
BROADWAY JOE'S PIZZA,BROADWAY JOES PIZZA,BROADWAY JOES PIZZA,JOES PIZZA,1
BUDDY'S WONDER BAR,BUDDYS WONDER BAR,BUDDYS WONDER BAR,WONDER,1
FAMOUS JOE'S PIZZA,FAMOUS JOES PIZZA,FAMOUS JOES PIZZA,JOES PIZZA,1
HOLYFRUITS JUICE PRESS,HOLYFRUITS JUICE PRESS,HOLYFRUITS JUICE PRESS,JUICE PRESS,1
HOUSE OF WONDER,HOUSE OF WONDER,HOUSE OF WONDER,WONDER,1
JOE'S PIZZA (PIES ONLY),JOES PIZZA PIES ONLY,JOES PIZZA PIES ONLY,JOES PIZZA,1
JOE'S PIZZA OF PARK SLOPE,JOES PIZZA OF PARK SLOPE,JOES PIZZA OF PARK SLOPE,JOES PIZZA,1
MR. WASABI,MR WASABI,MR WASABI,WASABI,1
ORIGINAL JOE'S PIZZA,ORIGINAL JOES PIZZA,ORIGINAL JOES PIZZA,JOES PIZZA,1
PEPE JOE'S PIZZA,PEPE JOES PIZZA,PEPE JOES PIZZA,JOES PIZZA,1
SUSHI WASABI,SUSHI WASABI,SUSHI WASABI,WASABI,1
THE JUICE HOUSE (Near Dunkin'),THE JUICE HOUSE NEAR DUNKIN,THE JUICE HOUSE NEAR DUNKIN,DUNKIN,1
WASABI POINT,WASABI POINT,WASABI POINT,WASABI,1
WASABI SUSHI,WASABI SUSHI,WASABI SUSHI,WASABI,1
WONDER PHO,WONDER PHO,WONDER PHO,WONDER,1
WONDER PIG KBBQ,WONDER PIG KBBQ,WONDER PIG KBBQ,WONDER,1
WONDER WORLD NUTRITION (HERBALIFE),WONDER WORLD NUTRITION HERBALIFE,WONDER WORLD NUTRITION HERBALIFE,WONDER,1
