dba,name_syntax_normalized,name_normalized,detected_known_brands,brand_candidates,is_reviewed_co_brand,has_separator,location_count
AUNTIE ANNE'S  CINNABON,AUNTIE ANNES CINNABON,AUNTIE ANNES CINNABON,AUNTIE ANNES | CINNABON,AUNTIE ANNES | CINNABON,True,False,1
AUNTIE ANNE'S / CARVEL,AUNTIE ANNES CARVEL,AUNTIE ANNES CARVEL,AUNTIE ANNES | CARVEL,AUNTIE ANNES | CARVEL,True,True,2
AUNTIE ANNE'S / CINNABON,AUNTIE ANNES CINNABON,AUNTIE ANNES CINNABON,AUNTIE ANNES | CINNABON,AUNTIE ANNES | CINNABON,True,True,1
AUNTIE ANNE'S / CINNABON / CARVEL,AUNTIE ANNES CINNABON CARVEL,AUNTIE ANNES CINNABON CARVEL,AUNTIE ANNES | CARVEL | CINNABON,AUNTIE ANNES | CINNABON | CARVEL,True,True,1
AUNTIE ANNE'S PRETZEL / CINNABON,AUNTIE ANNES PRETZEL CINNABON,AUNTIE ANNES PRETZEL CINNABON,AUNTIE ANNES | CINNABON,AUNTIE ANNES | CINNABON,True,True,1
AUNTIE ANNE'S PRETZEL / JAMBA JUICE,AUNTIE ANNES PRETZEL JAMBA JUICE,AUNTIE ANNES PRETZEL JAMBA JUICE,AUNTIE ANNES | JAMBA,AUNTIE ANNES | JAMBA,True,True,1
AUNTIE ANNE'S PRETZEL/CINNABON,AUNTIE ANNES PRETZEL CINNABON,AUNTIE ANNES PRETZEL CINNABON,AUNTIE ANNES | CINNABON,AUNTIE ANNES | CINNABON,True,True,1
AUNTIE ANNE'S PRETZELS / JAMBA JUICE,AUNTIE ANNES PRETZELS JAMBA JUICE,AUNTIE ANNES PRETZELS JAMBA JUICE,AUNTIE ANNES | JAMBA,AUNTIE ANNES | JAMBA,True,True,1
"AUNTIE ANNE'S PRETZELS, CARVEL",AUNTIE ANNES PRETZELS CARVEL,AUNTIE ANNES PRETZELS CARVEL,AUNTIE ANNES | CARVEL,AUNTIE ANNES | CARVEL,True,True,1
AUNTIE ANNE'S/CINNABON,AUNTIE ANNES CINNABON,AUNTIE ANNES CINNABON,AUNTIE ANNES | CINNABON,AUNTIE ANNES | CINNABON,True,True,3
Auntie Anne's / Cinnabon / Carvel,AUNTIE ANNES CINNABON CARVEL,AUNTIE ANNES CINNABON CARVEL,AUNTIE ANNES | CARVEL | CINNABON,AUNTIE ANNES | CINNABON | CARVEL,True,True,1
Auntie Anne’s/ Cinnabon/ Carvel,AUNTIE ANNES CINNABON CARVEL,AUNTIE ANNES CINNABON CARVEL,AUNTIE ANNES | CARVEL | CINNABON,AUNTIE ANNES | CINNABON | CARVEL,True,True,1
"BURGER KING, POPEYES",BURGER KING POPEYES,BURGER KING POPEYES,BURGER KING | POPEYES,BURGER KING | POPEYES,True,True,5
CARVEL & CINNABON,CARVEL AND CINNABON,CARVEL AND CINNABON,CARVEL | CINNABON,CARVEL | CINNABON,True,True,1
CARVEL / CINNABON,CARVEL CINNABON,CARVEL CINNABON,CARVEL | CINNABON,CARVEL | CINNABON,True,True,4
CARVEL CINNABON,CARVEL CINNABON,CARVEL CINNABON,CARVEL | CINNABON,CARVEL | CINNABON,True,False,2
CARVEL-CINNABON-AUNTIEANNES,CARVEL CINNABON AUNTIEANNES,CARVEL CINNABON AUNTIEANNES,CARVEL | CINNABON,CARVEL | CINNABON | AUNTIE ANNES,True,False,1
CARVEL/AUNTIE ANNE'S/CINNABON,CARVEL AUNTIE ANNES CINNABON,CARVEL AUNTIE ANNES CINNABON,AUNTIE ANNES | CARVEL | CINNABON,CARVEL | AUNTIE ANNES | CINNABON,True,True,1
CINNABON / AUNTIE ANNE'S,CINNABON AUNTIE ANNES,CINNABON AUNTIE ANNES,AUNTIE ANNES | CINNABON,CINNABON | AUNTIE ANNES,True,True,1
CINNABON / AUNTIE ANNE'S / CARVEL,CINNABON AUNTIE ANNES CARVEL,CINNABON AUNTIE ANNES CARVEL,AUNTIE ANNES | CARVEL | CINNABON,CINNABON | AUNTIE ANNES | CARVEL,True,True,1
CINNABON / AUNTIE ANNE'S PRETZELS,CINNABON AUNTIE ANNES PRETZELS,CINNABON AUNTIE ANNES PRETZELS,AUNTIE ANNES | CINNABON,CINNABON | AUNTIE ANNES,True,True,1
CINNABON / CARVEL,CINNABON CARVEL,CINNABON CARVEL,CARVEL | CINNABON,CINNABON | CARVEL,True,True,2
DUNKIN & JIMMY JOHN's,DUNKIN AND JIMMY JOHNS,DUNKIN AND JIMMY JOHNS,DUNKIN | JIMMY JOHNS,DUNKIN | JIMMY JOHNS,True,True,1
DUNKIN (38CC)/ SHAKE SHACK (40CC) POST GATE 22,DUNKIN 38CC SHAKE SHACK 40CC POST GATE 22,DUNKIN 38CC SHAKE SHACK 40CC POST GATE 22,DUNKIN | SHAKE SHACK,DUNKIN | SHAKE SHACK,True,True,1
DUNKIN - BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,False,1
DUNKIN / BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,True,4
DUNKIN BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,False,3
DUNKIN DONUT/JIMMY JOHN'S/BASKIN-ROBBINS,DUNKIN DONUT JIMMY JOHNS BASKIN ROBBINS,DUNKIN DONUT JIMMY JOHNS BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN | JIMMY JOHNS,DUNKIN | JIMMY JOHNS | BASKIN ROBBINS,True,True,1
DUNKIN DONUTS / BASKIN ROBBINS,DUNKIN DONUTS BASKIN ROBBINS,DUNKIN DONUTS BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,True,1
DUNKIN DONUTS BASKIN ROBBINS,DUNKIN DONUTS BASKIN ROBBINS,DUNKIN DONUTS BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,False,2
